Teks,label
"Caption berbunyi 'ngemall untuk makan' dan diikuti emoticon wajah tertawa dengan peluh di dahinya. Gambar yang diikuti caption tersebut terlihat dua orang sedang duduk dan berpose melihat kamera dengan tangan membentuk dua jari dengan latar yang terlihat seperti kantin. Selain itu, juga terdapat orang lainnya di belakang dua orang tersebut. Kedua orang tersebut duduk di kursi hijau depan meja putih. Di atas meja tersebut terdapat tiga jenis makanan beserta perlengkapannya, dua gelas minuman, serta tas putih.",pribadi
"Di dalam gambar berisi tiga orang wanita berkerudung. Salah satu dari ketiganya tidak menggunakan kacamata, sedangkan yang lainnya menggunakan kacamata. Dari gambar terlihat latar diambilnya gambar yaitu di daerah tempat makan. Caption yang digunakan berbunyi 'Terima kasih untuk malam minggunya kemarin nakanak #kamardiki, di saat bapaknya siaran, anak-anaknya malah keluyuran ya. (-) banyak'. Di dalam caption juga diselipi emoticon wajah tertawa dengan peluh di dahinya dan wajah tertawa hingga menangis.",pribadi
"Gambar dengan objek berupa cangkir berisi minuman dan beberapa buku yang menemaninya. Sebuah tablet elektronik juga terlihat di dalam gambar tersebut. Tulisan yang berbunyi 'Aku memposting tulisan dakwah atau nasihat, bukan karena aku merasa diriku sudah baik. Tapi karena aku ingin mengungatkan diriku sendiri.' dilanjutkan dengan tulisan lebih kecil berbunyi 'IBUKU BERKATA'.",pribadi
"Tulisan berwarna putih yang berbunyi 'Semoga selalu diberi kekuatan dan kesabaran hingga tiba waktunya nanti, aku percaya akan ada pelangi setelah hujan' dan dilanjutkan dengan emoticon wajah yang matanya berkaca-kaca, tangan yang saling menangkup, serta wajah tersenyum dengan lingkaran di kepalanya seperti malaikat. Tulisan tersebut berada di atas latar berwarna ungu tua.",pribadi
"Dengan tulisan berbunyi 'Jauh di lubuk hatiku ini masih tersimpan dan terukir indah namamu wahai TUHANKU yang menguasai kerajaan Bumi dan Langit @@@@@@@'. Sedangkan gambar latar belakangnya didominasi warna hitam dengan simbol silang berwarna merah di bagian tengahnya.",pribadi
"Gambar dengan latar belakang yang berwarna orange muda dan juga tulisan yang berwarna putih. Pada tulisan yang ada tersebut berbunyi 'Jangan sampai beda pilihan PUTUS SILATURAHMI'.",pribadi
"Isi tulisan caption berbunyi 'Rekor story terbaru mengalahkan awkarin. Dipegang oleh koko riko yang berjumlah pas 100 story dalam satu hari'. Di dalam tulisan tersebut diselipi emoticon wajah sedang tertawa hingga menangis dan wajah sedang menghembuskan nafas. Gambar yang memuat tulisan ini berlatar belakang cokelat muda dengan tulisan berwarna putih.",pribadi
"Dengan latar belakang berwarna merah muda dan tulisan berwarna putih, tulisan yang ada berbunyi 'Saya berterima kasih pada semua pihak yang membantu, PPS Sukaluyu, PPS Negla, PPS CHG yang sama-sama berjuang melewati ini semua. Semoga Tuhan memberikan kesehatan pads kita semua, suka dan duka kita lewati bersama. Semoga memberikan yang terbaik dan menjadi berkah untul kita semua Big hug for all of them'. Selain itu di dalamnya juga terdapat selipan emoticon yaitu tangan yang saling menangkup, sinar yang sedang berkedip, atau wajah dengan kedua tangan di sisinya.",pribadi
"Terima kasih masih mau bertahan sama aku yang banyak kekurangan ini.. Terima kasih untuk keharmonisan dan keromantisan yang selalu kamu jaga,, terima kasih sudah menjadikan aku bagian terpenting dalam hidup kamu,, semoga aku selalu bisa memantaskan diri untuk terus kamu cintai..' merupakan isi caption sebuah gambar. Di dalamnya diselipi emoticon wajah dengan ikon hati di sekelilingnya. Sedangkan gambarnya yang menjadi latar belakang berupa sepasang yang sedang memakai baju pernikahan mereka.",pribadi
"Andaikan body ini gak kayak molen :(' merupakan caption dari sebuah gambar. Di dalam gambar tersebut terlihat berbagai model baju dengan warna-warna senada di dalamnya. Baju yang terlihat seperti baju pengantin atau pesta itu didominasi warna cokelat muda dan cokelat sedikit pink.",pribadi
"Status whatsapp berlatar gambar sepasang sepatu heels namun diambil dengan sudut yang berbeda beda, ada yang diambil dari dari depan, dari samping, dan salah satu sepatu ditumpuk pada insole sepatu yang lain untuk menunjukkan bentuk dari heelsnya. Sepatu tersebut berwarna pink dengan ujung heels cukup kecil dan tinggi. Pada ujung sepatu terlihat runcing dan jika dipakai hanya menutupi jari kaki tidak sampai menutup punggung kaki. Status tersebut diakhiri dengan caption “*mango heels, uk 38 warna nude. Beli 499rb dijuaal 250 rb aja. Masih bagus bgt baru sekali dipakai acara kondangan. Minat bs chat” dan diakhiri dengan emoticon mengendipkan satu mata.",promosi
"Status whatsapp berlatar gambar beraneka ragam kue dan jajanan. Ada berbentuk bulat besar empat buah, lumpia goreng empat loyang, risoles dua loyang, brownies berwarna cokelat tiga loyang, kue lemper dan masih banyak lagi. Jumlah pada setiap kue yang terdapat pada gambar tersebut lebih dari satu. Beberapa ada yang dua hingga tiga Loyang. Pada status tersebut menampilkan pula snack box yang berisi masing masing satu dari setiap jenis kue. Dengan di akhir status terdapat caption “Yuuks… Yg mau pesan risoles mayo, brownies potong, bolu pisan, n bolu mawar utk berbagai acara nya japri ya… InsyaAllah semuanya enaak2 ya bunsay… terimakasih” beserta dengan emoticon yang menggambarkan perasaan senang.",promosi
"Dengan caption yang berbunyi 'Selesai 75 biji risol, thank's for order bidan lina' dan diselingi emoticon berupa tangan yang ditangkupkan. Gambar yang menjadi latarnya adalah tiga wadah mika plastik yang berisi tumpukan risol yang sudah digoreng hingga keemasan dan tertata rapi di dalamnya.",promosi
"Caption gambar yang berbunyi 'Bumi dikupas, batubara diambil, lubang galian ditinggalkan. Walaupun udah telat, wajib nonton ini. youtu.be/qlB7vg4l-To'. Dalam gambar yang menjadi latar belakangnya digunakan warna abu-abu gelap kebiruan dan tulisan yang berwarna putih.",promosi
"Gambar yang berjumlah empat dan dilakukan grid, berisi bermacam-macam jenis kue ulang tahun. Warna yang mendominasi adalah warna pink, juga biru muda. Caption gambar tersebut berbunyi 'Yuuks yang mau Ultah di bulan April, silahkan dipesan Blackforest nya, insyaAllah yummy biingits Bs request model ya... Terima kasih' dan diselipi dengan emoticon yaitu wajah dengan ikon hati di matanya, tangan yang ditangkupkan, wajah yang sedang berkedip sebelah, dan wajah dengan bibir yang dimajukan dengan ikon hati di bibirnya.", promosi
"Gambar dengan latar belakang polos berwarna abu abu. Pada gambar tersebut terdapat tulisan “salad buah sisa 1 cup yess gesiitt”, tulisan tersebut berwarna putih dengan tambahan emoticon mata berbentuk hati sebanyak satu buah",promosi
"Gambar seorang model sedang memegang tas kecil. Tas tersebut bergambar graity berwarna warni dengan tali yang lebar. Pada gambar terdapat caption “grafity Korean bag, ready 2 warna kak, hitam & pink”",promosi
"Foto dengan gambar baju muslim berwarna orange dan dipadukan dengan warna hijau dengan kerudung berwarna hijau, dimana pada tengah baju terdapat gambar bintang berwarna kuning dan dibawahnya terdapat tulisan senyum itu indah”. Dalam foto tersebut terdapat tulisan “sz 6 (4-5 thn)”",promosi
"Terdapat dua celana dengan berbagai macam warna, hitam dan abu-abu serta merah dengan biru dongker. Pada bagian paha terdapat tulisan sport dan beberapa bintang. Dengan tambahan caption status “monggo yg minat murah aja ya 2 rb ..celana anak buat cuaca dingin.. tinggal 8pcs aj,buat usia 1-2 thn aja",promosi
"4 buah baju berwarna biru dongker yang sedang digantung. Pada gambar tersebut terdapat tanggal 2019-4-22. Didalam baju terdapat tulisan berwarna putih. Dan diakhir status diberi caption “lemone nya bersablon islami stand no 5”",promosi
"Terdapat 4 buah gamis dengan warna yang bermacam macam, ada yang hitam, abu abu, orange kecoklatan dan biru dongker. Gambar pada keempat gamis tersebut sama yaitu, seorang wanita yang sedang membaca buku dan beberapa gambar bunga. Pada akhir status ditambahkan caption “sz 6-8 thn”",promosi
"Gambar jam tangan dengan berbagai macam warna dan variasi. Caption berbunyi 'JAM TANGAN CK KLT #J70835 HARGA: RP 115.000 KETERANGAN: DIAMETER 3.2 CM TALI KLT HARGA SUDAH TERMASUK BOX KANCING BISA BUAT BERENANG 1 KG BISA MUAT 5 JAM TANGAN+BOX. GROSIR 3 PCS DISKON 2rb/PCS GROSIR 6 PCS DISKON 5rb/PCS GROSIR 10 PCS DISKON 10rb/PCS. TERMURAH DAN MAKIN MURAH'",promosi
"Sebuah tas kecil bertali rantai dengan warna emas, dengan tulisan pada gambar tersebut ready juga kak, warna gold nya cakeppp gak ngejreng mentereng. Diakhiri dengan emoticon mengedipkan satu mata dan mengeluarkan lidah.",promosi
"Gambar yang terdiri dari berbagai macam kue, berwarna warni, baik hijau muda, merah muda, orange, cokelat, ataupun hitam. Gambar tersebut mempunyai caption berbunyi 'Monggo Bunsay yang mau pesan Aneka Cake's nya japri ya untuk berbagai acara.. Harga Bervariasi ya Terima kasih' dan diselipi emoticon yaitu wajah dengan ikon hati di matanya, tangan yang ditangkupkan, dan wajah dengan bibir yang dimajukan dengan ikon hati di bibirnya.",promosi
"Tas dengan merk Gucci berarna pink dan dengan ornament berwarna gold. Pada tas tersebut terdapat tali yang cukup panjang. Pada status terdaapat tulisan “Gucci 2in1 jelly mate. Jadi ini dapat 2 tali ya, slingbag dan tali utk dijadiin waist bag” dan diakhiri dengan emoticon jempol, dan mata berbentuk hati",promosi
"Foto dengan gambar wadah untuk menyimpan makanan dimana pada gambar tersebut terdiri dari beberapa ukuran berwarna ungu. Pada bagian bawah gambar terdapat mangkuk yang ditumpuk berwarna hijau. Dengan tambahan caption “Sale 50% terbatas”",promosi
"Di dalam gambar terdapat sebuah tangkapan layar yang isi di dalamnya berbunyi 'Alhamdulillah terima kasih dek nirya seminggu rutin glutera suami yang dulu gds 394 tadi pagi cek 200 Ibuk saya juga keluhan panas dan mripate burem sudah berubah banyak badan ibu mulai adem mripate sudah mulai membaik..alhamdulillah..'. Di samping gambar tersebut terdapat tulisan yang berbunyi 'Glutera gula darah normal... Gejala Glukoma amblas...'",promosi
"Gambar yang di dalamnya terdapat mobil berwarna kuning cerah dan beroda empat terdapat di depan sebuah gedung bercat putih berkaca bening sedikit hijau. Captionnya berbunyi 'Monggo yang butuh mobil buat persiapan mudik' dan diselipi emoticon jempol.",promosi
"Gambar dengan 8 buah botol dijejerkan dengan berbagai macam bau. Pada caption status tersebut ditamahakan “parfum pakaian laundy best seller” dengan tambahan emoticon mengedipkan satu mata dan tangan yang berbentuk pose OK.",promosi
"Dengan gambar yang di dalamnya terlihat terdapat lipmate berwarna pink, tulisan di sampingnya berbunyi 'Oiya lipmate nya enak mbak... Anak saya yang bungsu awalnya yang coba karena dia yang lebih paham tentang produk yang berhubungan dengan make up.. Katanya dia 'enak ma, ringan di bibir.. Malah lebih enak daripada merk xxxx yang mbaknya beli sebijinya 600ribu kata dia... Terus saya coba eeh benar enak mbak..' dan diselipi emoticon wajah dengan bibir dimajukan dan ikon hati di sampingnya, serta wajah dengan ikon hati di matanya.",promosi
"gambar dari hasil sebuah alat elektronik yang sedang menampilkan halaman sebuah berita yang berjudul “Prabowo kenalkan calon menteri: gatot nurmantyo, rocky gerung hingga fahri”. Pada foto berita tersebut menampilkan seorang calon presiden dimana sedang menggunakan kacamata berwarna hitam terlihat sedang berpidato di depan banyak masa. Dari hasil berita tersebut dapat dilihat lokasi calon presiden berpidato ada di Surabaya. Dimana nama nama calon meteri tersebut merupakan mantan panglima TNI Jenderal. Pengumuman itu disampaikan oleh prabowo dalam pidato kebangsaan pada jumat 12 april 2019. Pada berita itu dijelaskan bawah prabowo tidak pernah mengecek nama nama tersebut dari partai mana, ada yang professional ada yang bisa pakai dasi, ada yang tidak. Dan adapula anak muda tetapi mereka berkumpul secara alamiah. Mereka datang sendiri kepada prabowo. Di akhir status terdapat caption “Detik.com, pieeee jal” dengan tidak ada tambahan emoticon",berita
"Gambar dengan latar belakang ubin yang diatasnya terdapat lima buah gambar yang sudah diwarnai dengan pensil warna atau crayon, bertemakan perbedaan dengan caption tambahan “5 orang yg terbaik esok masuk final lomba mewarnai”",berita
"gambar dominan warna kuning dengan tulisan berwarna putih musyda 24 dibawahnya terdapat tulisan musyawarah daerah pd ipm kulonprogo optimalisasi potensi, wujudkan kemandirian pelajar kulonprogo dan selamat atas terpilihnya. Kemudia ada dua orang laki laki dan perempuan. Laki laki bernama yusril ahmad alfikri sebagai ketua umum dan yang perempuan bernama llatifah dewi purwitasari sebagai sekretaris umum. Kedua orang tersebut tersenyum lebar dan menggunakan almamater berwarna oranye. Pada bagian bawah gambar terdapat logo Instagram dengan tulisan ipmku.  Pada akhir status ditambahkan caption berupa tulisan “Selamat dan semangat fikri, ipeh, dan semuanya nanti yang ikut menjadi awak.. barakallah” setelah itu ditutup oleh emoticon hati berwarna kuning.",berita
"gambar Instagram akun kemdikbud.ri dimana pada postingan tersebut menunjukkan daftar pelanggaran berat selama ujian nasional. Dengan tulisan paling atas adalah pelanggaran berat oleh peserta dalam UN. Pelanggarannya yang pertama membawa sontekan ke ruang ujian. Kemudian dibawahnya, kerja sama dengan peserta ujian. Menyontek atau menggunakan kunci jawaban, meminta orang lain mengikuti ujian mengatasnamakan perserta ujian. Membawa alat komunikasi (HP), kamera, perangkat elektronikk yang dapat merekam gambar. Kemudian bagian paling bawah terdapat tulisan pelanggaran berat yang dilakukan oleh peserta ujian disanksi dengan dikeluarkan dari ruang ujian dan dinyatakan mendapat nilai 0 (nol) untuk pelajaran bersangkutan oleh ketua panitia tingkat satuan pendidikan. Pada postingan Instagram tersebut kemdikbud.ri menambahkan caption selamat menjalani un bagi #sahabatdikbud di jenjang SMP. Semoga dapat mengerjakan soal-soal dengan baik dan lacar. Aamiin. Semangat, ya!! Dan terdapat hashtag #UN #ujiannasional #UN2019 #prestasipentingjujuryangutama. Pada status whatsapp tidak menambahkan caption apapun.",berita
"Berita dengan latar koran yang berjudul Abraham samad: “pemimpin Kalimantan yang tamak. Pada koran tersebut terdapat foto seorang laki-laki. Pada koran tersebut kritikan pedas dilontarkan oleh Abraham samad yang mengaku sedih melihat ketamakan para pemimpin di Kalimantan. Pada status tersebut diakhiri dengan caption “astagfirullah….”",berita
"Tulisan dengan latar belakang berwarna abu abu dan teradapat tulisan berwarna putih. “Kaltim dapat 248 Tambahan kuota haji untuk regular 124 & lansia 124 info tepian tv”. Dengan tidak ada tambahan caption lagi di akhirnya.",berita
"Gambar dengan latar belakang malam hari dan monument berbentuk bulan dan dihiasi lampu berwarna putih dan ungu. Pada bagian bawah gambar terdapat tulisan berwarna putih “mari kita sambut datangnya bulan suci Ramadhan.” Dengan tidak ada caption tambahan pada status wa tersebut.",berita
"Foto yang memperlihatkan sebuah ruangan kelas berisikan anak kecil yang memakai seragam berwarna merah yang sedang mewarnai dan diawasi oleh gurunya itu diberikan caption tambahan “lomba mewarnai peringatan hari kartini”",berita
"Gambar dengan latar belakang kaligrafi dengan caption tambahan “Tadi ketemu bapak2 udah tua jualan ini, awalnya engga mau beli tapi pas ngelewat bapaknya bilang ‘yaallah dri tadi gak laku-laku’ sambil muka gelisah gitu:( akhiya balik lagi nanyain berpaan dan bapaknya bilang ‘35rb tapi berapa aja bapak mah’. Bingung bgt tapi posisinya Cuma ada uang 20rb. Yaudah akhirnya ku beli aja 1 walaupun kurang tapi bapaknya malah bilang ‘gapapa 2 aja, harus sepasang’. Maki bingungjadinya karna uang kurang:( akhirnya diem dulu karna uang gacukup, trs bapaknya bilang lagi ‘seribu sepasang juga gapapa neng, yang penting bapak bisa beli minun’ yaalah pak monangis dengernya. Guys buat kalian yg disekitar unsika kalo ketemu bapak jualan ini tolong dibeli ya, kalo kemahalan bisa patungan sama temen, bapaknya bener2 gapunya uang sampe mau jual seribu demi beli minum doing padahal harga aslinya 35rb. Ini bgus bgt aslii buat ditempel dikamar/ditempat sholat.”",berita
"status whatsapp yang memperlihatkan kesibukan panitia pemilu dengan beberapa lembar surat suara yang terbuka dengan tambahan caption “apakah kalian tau disaat kalian mempermasalahkan antara kalah dan menang, kamu semua panitia PPS, tps, dan kpu semuanya lelah dan gak ada yang tidur, tapi kalian dengan enaknya bilang pemilu ini curang.. bahkan di kota lain ketua tps sampe meninggal karena kelelahan.. jadi hargai kerja kami...!!!”",berita
"Hasil tangkapan layar web Wikipedia dengan judul earth day dimana pada bagian body terdapat keterangan bahwa earth day merupakan event tahunan yang diperingati setiap tanggal 22 april. Earth day pertama kali diselenggarakan pada tahun 1970. namun sekarang perayaan earth day diiperingati lebih dari 193 negara dimana dikoordinasi oleh earth day network.",berita
"hasil tangkapan layar dari akun Instagram kemdikbud.ri menjelaskan tentang pelanggaran ringan oleh peserta un, yaitu meminjam alat tulis dari peserta ujian, tidak membawa kartu ujian, dan menanyakan tentang teknis UNBK pada peserta lain.",berita
"Hasil tangkapan layar menampilkan chart music dari nomor satu sampai sepuluh, dimana nomor satu adalah blossom (prod. Groovyroom), dan no dua adalah kill this lobe lagi dari blackpink. Pada tangkapan layar tersebut ditambahi caption “look at that bruh our eunha & ravi – blossom 1st” “congrats”. Dan caption status adalah “gila eunha pertama euy”",berita
"Hasil tangkap layar dari komisi pemilihan umum dengan filter pilpres, hitung suara, bali, gianyar, gianyar, petak kaja, tps 04. Dibagian gambar terdapat tulisan berwarna merah “23.04.2019” dan dibawah terdapat list daftar calon presiden, pada no 1. Ir. H. joko Widodo – prof. Dr. kh. Ma’ruf amin yang memperoleh suara 1833 dan kemudian dilingkari dan diberi tulisan wow… wow… wow…",berita
"Tulisan background putih dengan tulisan berwarna putih dengan tulisan “segera hadir di layar fb anda 1. Selfie pake mukena 2. pulang tarawih 3.update ngabuburit 4.foto minuman dan makanan 5. Update Alhamdulillah puasanya lancer. Saksikanlah ! segera”",berita
"Gambar dengan latar berwarna ungu muda dan tulisan berwarna putih. Di dalamnya tertulis caption berbunyi 'Cie dapat mesin cuci cie. Pasti kalo baca cengir salting, cie benar salting cie'",pribadi
"Gambar dengan latar berwarna merah muda dan tulisan berwarna putih. Di dalamnya tertulis caption berbunyi 'Halo semuanya nama aku soraya aku anak mama ku aku juga mau jadi hafidz quran aku sukanya yang ganteng dari aceh namanya nabil cowo usia 9 tahun'.",pribadi
"Gambar dengan latar berwarna merah gelap keunguan dan tulisan berwarna putih. Di dalamnya tertulis caption berbunyi 'Siapapun presiden nya, semoga bisa nurunin harga tiket pesawat ya. Aamiin' dan diselingi emoticon wajah tertawa hingga menangis dan wajah tersenyum dengan lingkaran seperti malaikat di kepalanya.",pribadi
"Gambar berlatar warna biru muda dan tulisan putih. Di dalamnya terdapat tulisan berbunyi 'Semoga selalu diberi kesehatan dan kemudahan dalam mengerjakan soal-soal USBN. Aamiin *Peluk Digna' serta dilanjutkan dengan emoticon wajah sedang memajukan bibirnya dan wajah tersenyum dengan lingkaran di kepalanya seperti malaikat.",pribadi
"Gambar dengan latar belakang berwarna coklat tua dan tulisan berwarna putih. Pada gambar tersebut terdapat tulisan yang berbunyi 'Yang Bantuin Kita Kalau Kita Sakit Ya Keluarga dan Tetangga Kita Bukan Presiden Kita'.",pribadi
"Gambar dengan latar berwarna coklat muda dan tulisan berwarna putih. Di dalamnya tertulis caption berbunyi 'Rekor stori terbaru mengalahkan awkarin. Dipegang oleh koko riko yang berjumlah pas 100 story dalam 1 hari' dan diselingi emoticon wajah sedang menghela nafas dan wajah tertawa hingga menangis.",pribadi
"Dengan caption berbunyi 'Ada yang bisa memusnahkan acara menembus mata batin antv gasi adik gue jadi gila gini' diikuti emoticon wajah yang sedang menangis. Di dalam gambarnya terdapat objek berupa televisi yang sedang menyala di depan tembok berwarna kuning. Di tembok tersebut juga dipasangi beberapa foto ataupun jam.",pribadi
"Di latar gambar berwarna hijau muda tertulis status dengan font warna putih yang berbunyi 'Makin gemes lho lihat kamu.. Iya kamu #perbaiki lagu akhlakmu kasihan hijab dan ibadahmu.' Di dalam gambar tersebut juga diselipkan beberapa emoticon seperti mengeluarkan lidah dan muka datar.",pribadi
"Dengan tulisan yang berbunyi 'Saat jerih payah mulai tidak dihargai, semakin semangat menabung demi kehidupan yang lebih baik agar bisa hidup mandiri. Semoga diberi kemudahan'. Di dalamnya diselipi emoticon lengan yang sedang mengepal, tangan yang saling menangkup, dan wajah dengan lingkaran di atasnya seperti malaikat. Tulisan yang berwarna putih itu berada pada latar belakang berwarna ungu muda.",pribadi
"Caption berbunyi 'salah ga sih ngomong gini ke orang yang lagi dijudge penipu?? aku gatau dia gimana, but yang sekali aku bilang aku percaya sama yang mau aku percaya dan terserah orang mau percaya yang mana.'. Di latar belakang caption tersebut terdapat sebuah gambar berupa tangkapan layar isi chat di sebuah grup aplikasi lain.",pribadi
"Status whatsapp berlatar empat buah gambar yang dijadikan menjadi satu. Semua gambar menunjukkan objek yang sama yaitu kue bolu yang sudah berada dalam kotak, pada setiap bolu terdapat potongan pisang sebanyak empat buah. Pada gambar pertama terlihat gambar kue bolu biasa. Pada gambar sebelah kanannya terdapat empat buah kue bolu yang sudah di dalam kotak. Pada gambar dibawah kue bolu pertama, terilhat kue bolu difoto dari dekat. Pada gambar tersebut warna terlihat agak lebih pucat dari kue pertama, ini menandakan foto tersebut diambil menggunakan flash. Pada gambar terakhir terlihat kue tersebut sudah ditutup menggunakan plastik menandakan siap untuk dikirim. Di akhir status diberi caption “Bismillah… Ready lg utk nnt sore ya bunsay, bolu pisang uk 15*10 only 15.000 minat japri ya … delivery jam 4-5 sore. Terimakasih” kemudian ditutup dengan emoticon yang menggambarkan perasaan senang.",promosi
"Gambar berupa potret dari makanan bernama risol yang berisi sosis dan mayonnaise. Caption dari gambar tersebut berbunyi 'Bismillah Open Order Risoles Mayo isi Sosis, Telur, Mayo, dan saos untuk teman ngeteh / buka puasanya... Only 2000/pcs (minimal 5). Bisa pesan yang nggak pedas dan mentah juga ya... Delivery jam 4-5 sore Terima kasih' dan diselingi emoticon yaitu wajah dengan ikon hati di matanya, tangan yang ditangkupkan, dan wajah dengan bibir yang dimjukan dengan ikon hati di bibirnya.",promosi
"Gambar seorang model memegang tas berwarna hitam dengan beberapa manik manik yang membentuk corak pada tas tersebut. Pada gambar terdapat tulisan “Charles & keith pearl ready lagi ya kak, yang kemaren kehabisan cuss kirim format yaa. Ada label & tag CK, bedanya gak ada dustbag kaya di counter ya”",promosi
"Tumpukan baju yang masih didalam plastic, pada gambar paling depan terdapat baju dengan motif bunga bunga kecil dan pink polos. Pada akhir status terdapat caption “stelan gamis benat oke datang ya”",promosi
"Terdapat seorang pria yang sedang makan kemudian di meja makan terdapat beberapa wadah yang berisi sambal. Pada akhir status diberi caption “Alhamdulillah soto ayam bontang nya habis hari ini” ditambah dengan emoticon tersenyum hingga menampakkan gigi.",promosi
"Gambar sebuah tas berwarna krem dan diberi motif berwarna putihdengan tali berwarna putih, kemudian pada gambar tersebut terdapat tulisan tas import baru lageeee. Bahannya kulit sintetis + woll nihh cantik banget. Hanya putih ya” dengan emoticon bermata hati dan cium.",promosi
"Gambar tas dengan tas berwarna baby pink dengan tambahan bunga pada sekeliling tas. Tali tas berwarna hitam lebar dengan tulisan berwarna putih. Pada gambar tersebut terdapat tambahan tulisan “ready lagi kakk, tas kulit kombinasiin kain tile dan mutiara”",promosi
